"","Country","Year","Status","Life.expectancy","Adult.Mortality","Alcohol","percentage.expenditure","Hepatitis.B","BMI","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"2453","Sri Lanka",2004,"Developing",69.1,197,1.56,15.35342268,62,16.1,97,4.28,97,0.1,174.6692,19228,15.4,15.5,0.705,12.8
"2501","Swaziland",2004,"Developing",45.6,69,5.78,37.43857664,93,27.4,88,5.88,86,50.3,2529.633557,19553,7.7,7.9,0.492,9.4
"2549","Syrian Arab Republic",2004,"Developing",73.2,131,0.93,10.21129783,82,46.8,84,4.48,81,0.1,148.852738,1786638,6.5,6.3,0.61,10.6
"2565","Tajikistan",2004,"Developing",65.9,177,0.38,2.093721752,81,33,82,5.7,86,0.3,39.281834,6712841,3.9,3.9,0.563,10.5
"2581","Thailand",2004,"Developing",71.6,189,6.17,301.3597791,96,21.7,98,3.51,98,0.5,2659.83918,652231,9,9.2,0.674,11.9
"2645","Tonga",2004,"Developing",72.2,151,1.8,423.2953509,9,68.6,91,4.87,9,0.1,2284.37858,146,0.1,0.1,0.693,14.6
"2661","Trinidad and Tobago",2004,"Developing",69.4,19,5.82,11.85100131,94,36.8,94,5.22,94,1,129.51914,129535,6.3,6.8,0.736,12.2
"2677","Tunisia",2004,"Developing",74,15,1.36,379.7659054,96,51.4,97,5.63,97,0.1,3112.83529,11761,6.4,6.3,0.673,13.6
"2693","Turkey",2004,"Developing",72,132,1.35,1.132766775,77,56.8,85,5.37,85,0.1,64.72953,677855,5.1,4.9,0.675,12
"2709","Turkmenistan",2004,"Developing",63.5,238,2.86,186.1013972,96,4,98,4.3,97,0.1,1453.917166,473398,3.4,3.4,0,10.3
"2726","Uganda",2004,"Developing",51.3,485,9.89,36.60609252,62,14.2,58,8.9,62,8.9,288.236949,27568436,6.6,6.6,0.427,11.6
"2742","Ukraine",2004,"Developing",67.4,267,6.79,180.3537859,98,56.1,99,6.61,99,1,1367.352433,474516,2.7,2.8,0.7,14.6
"2822","Uruguay",2004,"Developing",75.4,122,5.66,882.356362,94,57.7,95,11.59,94,0.1,4117.38853,332496,1.7,1.6,0.75,15.5
"2838","Uzbekistan",2004,"Developing",67.8,183,1.59,34.41887163,99,37,99,5.11,99,0.3,465.1198869,2586435,3.2,3.2,0.613,11.6
"2854","Vanuatu",2004,"Developing",69.6,169,0.85,334.1673373,63,44.1,67,4.12,69,0.1,1787.94723,24143,1.6,1.5,0,10.7
"2934","Zimbabwe",2004,"Developing",44.3,723,4.36,0,68,27.1,67,7.13,65,33.6,454.366654,12777511,9.4,9.4,0.407,9.2
