"","Country","Year","Status","Life.expectancy","Adult.Mortality","Alcohol","percentage.expenditure","Hepatitis.B","BMI","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling"
"2667","Tunisia",2014,"Developing",75.1,12,1.39,604.8701316,98,6.2,98,7,98,0.1,4271.68172,1114398,6.5,6.4,0.722,14.7
"2683","Turkey",2014,"Developing",75.5,17,1.45,181.9083783,96,65.3,96,5.41,96,0.1,12127.22522,773628,4.9,4.7,0.759,14.5
"2699","Turkmenistan",2014,"Developing",66,217,2.9,691.1333535,97,47.7,98,2.7,98,0.1,7962.365824,5466241,3.3,3.3,0.683,10.8
"2716","Uganda",2014,"Developing",61.5,38,0.01,14.16770158,78,18.1,82,7.22,78,3.2,719.172669,38833338,5.7,5.6,0.483,10
"2732","Ukraine",2014,"Developing",78,23,8.06,5.663849328,22,6.7,45,7.1,23,0.2,314.658296,45271947,2.3,2.4,0.746,15.2
"2812","Uruguay",2014,"Developing",76.8,117,6.03,463.6397821,95,63.4,95,8.58,95,0.1,16737.89827,3419546,1.5,1.4,0.791,15.5
"2828","Uzbekistan",2014,"Developing",69.2,184,0.01,0.442802404,99,43.9,99,5.84,99,0.1,25.448414,37577,3,3.1,0.69,12.1
"2844","Vanuatu",2014,"Developing",71.7,134,0.01,564.8167043,64,52.5,65,5.2,64,0.1,3148.36513,25885,1.5,1.4,0.596,10.8
"2908","Zambia",2014,"Developing",61.1,314,0.01,196.6675768,86,22.8,78,4.99,86,4.3,1738.8822,1562974,6.3,6.2,0.57,12.5
"2924","Zimbabwe",2014,"Developing",59.2,371,6.5,10.82259524,91,31.3,92,6.44,91,6.3,127.47462,15411675,5.9,5.7,0.498,10.3
